major,jobs
BIT-DSS,IT Consulting|Consultant|Systems Analyst|Systems Developer|Project Analyst|Project Manager|Solution Engineer|Data Analytics Consultant
BIT-OSM,Consultant|Supply Chain Analyst|Shift Analyst|Shift Manager|Solution Engineer|Project Manager|Project Analyst
Cybersecurity,Consultant|Cybersecurity Analyst|Cybersecurity Engineer|Cybersecurity Manager|Cybersecurity Architect|Cybersecurity Consultant|SOC Analyst|SOC Manager|Penetration Tester|Red Team Operator|Threat Intelligence Analyst|Threat Hunter|Malware Analyst|Incident Responder
Marketing,Consultant|Marketing Analyst|Marketing Manager|Marketing Director|Marketing Consultant|Marketing Strategist|Marketing Automation Specialist|Salesperson|Sales Manager|Sales Director

